message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2.606235, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.713941227";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.578339, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.698033553";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.550442, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.681902190";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.522546, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.665848701";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.494649, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.650928815";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.466752, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.634845597";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.438856, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.618821108";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.410959, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.602901787";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.383063, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.586861863";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.355166, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.570250840";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.327270, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.554183382";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.299373, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.538750183";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.271477, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.522224593";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.243580, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.505883669";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.215684, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.490734554";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.187787, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.473964625";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.159891, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.457948799";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.131994, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.441947222";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.104098, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.426078373";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.076201, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.410800570";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.048305, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.393953196";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.020408, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.378884183";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.992512, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.362448507";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.964615, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.346311055";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.936718, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.330115135";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.908822, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.314278796";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.880925, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.298452068";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.853029, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.282554092";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.825132, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.266581390";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.797236, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.250621721";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.769339, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.234688670";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.741443, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.218387258";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.713546, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.202264578";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.685650, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.186343138";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.657753, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.170452647";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.629857, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.154448998";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.601960, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.138038983";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.574064, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.122233314";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.546167, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.106189869";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.518271, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.090269824";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.490374, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.074179940";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.462478, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.057913443";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.434581, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.042867520";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.406685, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.026142561";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.378788, y=-0.015677])";"30";"turtlesim1.sim";"1695141454.010920661";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.350891, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.994857569";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.322995, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.978229556";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.295098, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.962763598";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.267202, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.946225080";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.239305, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.930095713";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.211409, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.914058693";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.183512, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.898559375";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.155616, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.882332188";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.127719, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.866149358";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.099823, y=-0.015677])";"30";"turtlesim1.sim";"1695141453.850080808";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.071926, y=-0.006128])";"30";"turtlesim1.sim";"1695141453.834555192";"/home/ruby/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
